Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,77686.8425925926,8779.027540596751,0.22270296296296296,0.016531922445359146,2.8790621819439988,0.10100470194748898
CONV_2D,416168.99074074073,2738.978930778329,1.235375578703704,0.00986582933352536,2.968327798759784,0.019823010321087648
CONV_2D,503682.56481481483,3180.585568824372,1.5450892824074076,0.011660991032897618,3.067809203990026,0.018999598856775265
MAX_POOL_2D,31459.625,975.4461766977506,0.07723405092592593,0.0022500505451522393,2.4604817432245554,0.031845923941292424
CONV_2D,21409.453703703704,1956.2921981450827,0.07099030092592593,0.0037320681793818686,3.325090514363651,0.13703792824715408
CONV_2D,479653.087962963,2895.1572826595434,1.5667829629629628,0.01288503434108132,3.266572544985262,0.02630791221474164
MAX_POOL_2D,17195.60648148148,541.7837461114748,0.044688958333333334,0.0015534822601250234,2.6005636580677147,0.038522401362801044
CONV_2D,10565.111111111111,957.8773343462726,0.037449560185185186,0.0021905140961968276,3.556867274397355,0.1488931137916016
CONV_2D,8203.087962962964,644.3101871478652,0.029569166666666667,0.0016676918374852157,3.61250059457751,0.15339452626264843
CONV_2D,124179.79166666667,1388.377853136063,0.3763330787037037,0.0043779810625013535,3.030368734855849,0.02517527568379294
CONV_2D,10509.166666666666,1048.7924140542673,0.03671125,0.002318191806627488,3.5258059081974484,0.16606426701781007
CONV_2D,71263.82407407407,1262.5528689238508,0.2201421527777778,0.00333573418674539,3.0909787666978423,0.03144967988465826
CONV_2D,104624.92592592593,1438.3549837671667,0.3221643981481481,0.004159201324328128,3.0790948046139746,0.028723813641718027
AVERAGE_POOL_2D,23733.569444444445,668.1489388128431,0.05737125,0.0018620191555534932,2.410867010725466,0.03009840678210939
CONV_2D,6573.0787037037035,642.5725483685388,0.02387486111111111,0.0016561579755473622,3.666403590694087,0.1899982480224018
CONCATENATION,2190.3055555555557,92.80933844430277,0.008703541666666667,0.001177790452549069,4.039404744500267,0.32764025649495115
CONV_2D,13371.25925925926,842.2680675411192,0.047135625,0.0019460635012870642,3.5215002592357942,0.11068348467145828
CONV_2D,10701.083333333334,810.550037583076,0.037608310185185186,0.0018263767742111006,3.53122935738029,0.13330273450200622
CONV_2D,124793.32407407407,2416.7567313818945,0.37547013888888886,0.005700643196261298,3.00809383346357,0.03489233206558916
CONV_2D,13471.689814814816,927.1762293472759,0.04688506944444445,0.0018686549108203544,3.489212539462155,0.12044932200773416
CONV_2D,71379.83333333333,1522.3181883780626,0.21952835648148147,0.00320063422646585,3.0769001601419235,0.037624367658394504
CONV_2D,104477.13888888889,1813.0175963801207,0.32104199074074075,0.00434166607697879,3.0729457585592983,0.03269661447743289
AVERAGE_POOL_2D,31137.73611111111,905.4374529963846,0.0743770138888889,0.0022350974054488404,2.3867948213248757,0.029418081696798853
CONV_2D,13629,951.4472163791092,0.048352129629629634,0.0018736812280394095,3.5601163940298504,0.11809167333311306
CONCATENATION,2414.324074074074,109.43832431029985,0.008872314814814816,0.0013510129817353935,3.732460299285578,0.22448853990948175
CONV_2D,13967.305555555555,957.113817860502,0.04986298611111111,0.0020840376575629416,3.570555264741924,0.11614966129267641
CONV_2D,11237.106481481482,988.623042958792,0.04008337962962963,0.002293319184862657,3.5750391479028996,0.14181707412624603
CONV_2D,124741.24537037036,2191.119431041968,0.3752975462962963,0.005443383980992275,3.0099767496783256,0.03168122705148319
CONV_2D,14141.12037037037,1163.240633982501,0.0498644212962963,0.002561363616736027,3.5334264095501333,0.1233679598833593
CONV_2D,71813.42129629629,2048.467191926275,0.22093296296296297,0.0045382995182278105,3.0768437927812076,0.04692222172858908
CONV_2D,104491.15277777778,1546.997168888114,0.32097425925925926,0.0038065801833199117,3.073307390015978,0.03160984650688865
AVERAGE_POOL_2D,34789.476851851854,1100.3015745784057,0.08268951388888889,0.0024325747713740725,2.378846074169334,0.03174469389176089
CONV_2D,14330.12962962963,1164.3767454816252,0.05149891203703704,0.002455944573253262,3.602584324027724,0.13352413463707616
CONCATENATION,2421.972222222222,125.63873535254824,0.009028402777777778,0.0014240762502316247,3.7759769536999612,0.2661925701672941
CONV_2D,172798.0185185185,8539.842880072427,0.565069050925926,0.020337404422871713,3.271918549979191,0.04493820633572499
CONV_2D,13992.263888888889,775.8279089150784,0.04976122685185185,0.0017820821803756167,3.5499822886937995,0.09210267791924052
