Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,10177.625,93.04371296948626
DEPTHWISE_CONV_2D,15963.62037037037,88.72426257925842
CONV_2D,11056.060185185184,56.42990643893047
DEPTHWISE_CONV_2D,7312.305555555556,44.17284198617747
CONV_2D,6604.430555555556,58.86711960051832
DEPTHWISE_CONV_2D,13507.398148148148,59.58924831787328
CONV_2D,8588.023148148148,118.91077584605772
DEPTHWISE_CONV_2D,3624.685185185185,50.071457854074644
CONV_2D,4418.449074074074,51.174150729116796
DEPTHWISE_CONV_2D,6495.884259259259,45.16052164437479
CONV_2D,6707.986111111111,506.269256416271
DEPTHWISE_CONV_2D,1667.7222222222222,31.299134212772337
CONV_2D,3230.5925925925926,33.47526368027067
DEPTHWISE_CONV_2D,3065.2268518518517,30.614379054685692
CONV_2D,5535.009259259259,50.458361156129655
DEPTHWISE_CONV_2D,2978.9166666666665,30.8365238589518
CONV_2D,5518.2962962962965,31.038733048330787
DEPTHWISE_CONV_2D,3061.9074074074074,35.14165435855634
CONV_2D,5467.962962962963,33.34844821919392
DEPTHWISE_CONV_2D,2980.685185185185,33.474602906987876
CONV_2D,5528.236111111111,60.96374751278393
DEPTHWISE_CONV_2D,3065.115740740741,28.905666053679834
CONV_2D,5509.912037037037,28.8305496973346
DEPTHWISE_CONV_2D,786.3333333333334,17.831775632903813
CONV_2D,3181.814814814815,57.020163449261716
DEPTHWISE_CONV_2D,1388.7175925925926,26.93010269645154
CONV_2D,5796.2037037037035,43.680184349440395
AVERAGE_POOL_2D,96.11111111111111,22.071362933185508
CONV_2D,1314.3009259259259,41.83474100192586
RESHAPE,2.2083333333333335,0.6722853505711638
SOFTMAX,66.92129629629629,5.992148426404369
