Image,Inferences,Infered class,Expected class,Average Inference Time (ms)
/share/kbench/imagenet/tflite/persian_cat/n02123394_3329.bmp,1,persian cat (56.47%) ,persian_cat,157.181
/share/kbench/imagenet/tflite/persian_cat/n02123394_3152.bmp,1,persian cat (100.00%),persian_cat,157.217
/share/kbench/imagenet/tflite/persian_cat/n02123394_6048.bmp,1,persian cat (51.37%) ,persian_cat,157.206
/share/kbench/imagenet/tflite/persian_cat/n02123394_1292.bmp,1,persian cat (100.00%),persian_cat,157.267
/share/kbench/imagenet/tflite/persian_cat/n02123394_5905.bmp,1,persian cat (85.49%) ,persian_cat,157.11
/share/kbench/imagenet/tflite/persian_cat/n02123394_6099.bmp,1,persian cat (88.63%) ,persian_cat,157.222
/share/kbench/imagenet/tflite/persian_cat/n02123394_1826.bmp,1,persian cat (100.00%),persian_cat,157.295
/share/kbench/imagenet/tflite/persian_cat/n02123394_3786.bmp,1,persian cat (98.82%) ,persian_cat,157.245
/share/kbench/imagenet/tflite/persian_cat/n02123394_511.bmp,1,persian cat (98.82%) ,persian_cat,156.909
/share/kbench/imagenet/tflite/persian_cat/n02123394_1310.bmp,1,persian cat (100.00%),persian_cat,157.228
/share/kbench/imagenet/tflite/persian_cat/n02123394_513.bmp,1,persian cat (92.16%) ,persian_cat,157.112
/share/kbench/imagenet/tflite/persian_cat/n02123394_731.bmp,1,persian cat (100.00%),persian_cat,164.717
/share/kbench/imagenet/tflite/persian_cat/n02123394_10157.jpeg.bmp,1,persian cat (81.57%) ,persian_cat,157.112
/share/kbench/imagenet/tflite/persian_cat/n02123394_3183.bmp,1,persian cat (99.61%),persian_cat,157.292
/share/kbench/imagenet/tflite/persian_cat/n02123394_4299.bmp,1,persian cat (87.06%) ,persian_cat,157.249
/share/kbench/imagenet/tflite/persian_cat/n02123394_3179.bmp,1,persian cat (100.00%),persian_cat,157.259
/share/kbench/imagenet/tflite/persian_cat/n02123394_10136.bmp,1,persian cat (97.25%) ,persian_cat,157.444
/share/kbench/imagenet/tflite/persian_cat/n02123394_9083.bmp,1,persian cat (72.55%) ,persian_cat,157.143
/share/kbench/imagenet/tflite/persian_cat/n02123394_619.bmp,1,persian cat (100.00%),persian_cat,157.324
/share/kbench/imagenet/tflite/persian_cat/n02123394_5938.bmp,1,persian cat (100.00%),persian_cat,157.265
