Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,44425.55092592593,5962.74546565148
DEPTHWISE_CONV_2D,29722.39814814815,3335.6480072866034
CONV_2D,26251.51851851852,2701.3217117547856
DEPTHWISE_CONV_2D,13868.726851851852,1323.3066063706337
CONV_2D,19581.63888888889,2062.7726798796866
DEPTHWISE_CONV_2D,25853.097222222223,2832.3969457229036
CONV_2D,31771.453703703704,4076.567554405842
DEPTHWISE_CONV_2D,7163.861111111111,677.2571309706656
CONV_2D,17945.63888888889,4874.241186828627
DEPTHWISE_CONV_2D,12943.023148148148,1314.453091601111
CONV_2D,31603.48611111111,4196.04876085953
DEPTHWISE_CONV_2D,3729.3703703703704,406.69805417561713
CONV_2D,19004.39814814815,3982.767265542647
DEPTHWISE_CONV_2D,5403.25462962963,636.3132854190526
CONV_2D,33365.62962962963,5470.142942970457
DEPTHWISE_CONV_2D,5456.361111111111,635.3874868831258
CONV_2D,32103.597222222223,5468.697287982292
DEPTHWISE_CONV_2D,6134.791666666667,754.210402737341
CONV_2D,31464.097222222223,5225.518673068242
DEPTHWISE_CONV_2D,6102.787037037037,812.4169592997721
CONV_2D,31175.77314814815,4976.83607561453
DEPTHWISE_CONV_2D,5408.884259259259,638.8803578167675
CONV_2D,31032.787037037036,4998.3187211281465
DEPTHWISE_CONV_2D,1640.3935185185185,206.4280830616535
CONV_2D,17573.462962962964,4598.634802299977
DEPTHWISE_CONV_2D,2893.8518518518517,342.96311795052895
CONV_2D,33112.208333333336,8801.456036851758
AVERAGE_POOL_2D,324.0787037037037,37.588639809975305
CONV_2D,16433,3268.425324502895
RESHAPE,4.847222222222222,0.7875134723519354
SOFTMAX,264.86574074074076,31.78713244799093
