Image,Inferences,Infered class,Expected class,Average Inference Time (ms),Average energy spent (J),Average power (W)
/share/kbench/imagenet/tflite/persian_cat/n02123394_3329.bmp,1,persian cat (84.33%) ,persian_cat,567.976,1.5711750000000015,2.768263996964843
/share/kbench/imagenet/tflite/persian_cat/n02123394_3152.bmp,1,persian cat (100.00%),persian_cat,543.505,1.5337599999999996,2.8272798976428226
/share/kbench/imagenet/tflite/persian_cat/n02123394_6048.bmp,1,persian cat (97.15%) ,persian_cat,547.638,1.5447500000000005,2.8188868613138696
/share/kbench/imagenet/tflite/persian_cat/n02123394_1292.bmp,1,persian cat (97.59%) ,persian_cat,557.748,1.5660399999999992,2.8065232974910383
/share/kbench/imagenet/tflite/persian_cat/n02123394_5905.bmp,1,persian cat (67.78%) ,persian_cat,556.374,1.5601399999999996,2.8060071942446037
/share/kbench/imagenet/tflite/persian_cat/n02123394_6099.bmp,1,persian cat (90.04%) ,persian_cat,559.547,1.5685549999999993,2.7982973978731396
/share/kbench/imagenet/tflite/persian_cat/n02123394_1826.bmp,1,persian cat (99.93%),persian_cat,581.774,1.601930000000001,2.7547763118396733
/share/kbench/imagenet/tflite/persian_cat/n02123394_3786.bmp,1,persian cat (99.71%) ,persian_cat,567.177,1.5795449999999998,2.780889084507042
/share/kbench/imagenet/tflite/persian_cat/n02123394_511.bmp,1,persian cat (98.95%) ,persian_cat,591.426,1.620305000000001,2.7416328257191216
/share/kbench/imagenet/tflite/persian_cat/n02123394_1310.bmp,1,persian cat (99.91%),persian_cat,577.969,1.60614,2.77878892733564
/share/kbench/imagenet/tflite/persian_cat/n02123394_513.bmp,1,persian cat (99.71%),persian_cat,582.988,1.6089349999999991,2.7625138373058107
/share/kbench/imagenet/tflite/persian_cat/n02123394_731.bmp,1,persian cat (99.99%),persian_cat,580.572,1.6060349999999994,2.769474679987116
/share/kbench/imagenet/tflite/persian_cat/n02123394_10157.jpeg.bmp,1,persian cat (99.37%) ,persian_cat,545.013,1.5414299999999983,2.825486844790362
/share/kbench/imagenet/tflite/persian_cat/n02123394_3183.bmp,1,persian cat (99.54%),persian_cat,572.108,1.5924650000000014,2.7883188703667945
/share/kbench/imagenet/tflite/persian_cat/n02123394_4299.bmp,1,persian cat (96.84%) ,persian_cat,590.437,1.6226550000000006,2.750262711864408
/share/kbench/imagenet/tflite/persian_cat/n02123394_3179.bmp,1,persian cat (99.99%),persian_cat,548.487,1.548829999999999,2.8211839708561004
/share/kbench/imagenet/tflite/persian_cat/n02123394_10136.bmp,1,persian cat (99.57%) ,persian_cat,577.588,1.608745000000001,2.7832958477508667
/share/kbench/imagenet/tflite/persian_cat/n02123394_9083.bmp,1,persian cat (88.76%) ,persian_cat,551.144,1.5520350000000005,2.816760435571689
/share/kbench/imagenet/tflite/persian_cat/n02123394_619.bmp,1,persian cat (99.82%),persian_cat,567.472,1.5859150000000002,2.794474914327652
/share/kbench/imagenet/tflite/persian_cat/n02123394_5938.bmp,1,persian cat (99.96%),persian_cat,578.129,1.6042350000000014,2.774072934521048
/share/kbench/imagenet/tflite/persian_cat/n02123394_1814.bmp,1,persian cat (99.98%),persian_cat,562.134,1.5751850000000018,2.8056259691692245
/share/kbench/imagenet/tflite/persian_cat/n02123394_1594.bmp,1,persian cat (99.04%) ,persian_cat,554.432,1.5633850000000025,2.8179350508019354
/share/kbench/imagenet/tflite/persian_cat/n02123394_6265.bmp,1,persian cat (81.29%) ,persian_cat,592.958,1.6307900000000028,2.750067453625637
/share/kbench/imagenet/tflite/persian_cat/n02123394_2227.bmp,1,persian cat (99.38%) ,persian_cat,589.261,1.618420000000002,2.7477419354838744
/share/kbench/imagenet/tflite/persian_cat/n02123394_7008.bmp,1,persian cat (69.93%) ,persian_cat,582.409,1.6145299999999991,2.769348198970839
/share/kbench/imagenet/tflite/persian_cat/n02123394_1286.bmp,1,persian cat (96.92%) ,persian_cat,566.604,1.5801000000000005,2.791696113074206
/share/kbench/imagenet/tflite/persian_cat/n02123394_5921.bmp,1,persian cat (99.79%) ,persian_cat,577.324,1.6060800000000002,2.783500866551127
/share/kbench/imagenet/tflite/persian_cat/n02123394_3889.bmp,1,persian cat (99.81%),persian_cat,557.237,1.5657150000000002,2.8099795862301042
/share/kbench/imagenet/tflite/persian_cat/n02123394_3225.bmp,1,persian cat (46.09%) ,persian_cat,540.097,1.5320549999999977,2.8367284825690686
/share/kbench/imagenet/tflite/persian_cat/n02123394_2788.bmp,1,persian cat (99.87%),persian_cat,546.675,1.549064999999999,2.832000749847685
/share/kbench/imagenet/tflite/persian_cat/n02123394_8212.bmp,1,persian cat (99.62%) ,persian_cat,554.071,1.5641799999999975,2.8239908706753902
/share/kbench/imagenet/tflite/persian_cat/n02123394_2457.bmp,1,persian cat (99.71%) ,persian_cat,557.368,1.5737300000000007,2.818466021208899
/share/kbench/imagenet/tflite/persian_cat/n02123394_4385.bmp,1,persian cat (99.99%),persian_cat,576.225,1.6010099999999978,2.781317247021666
/share/kbench/imagenet/tflite/persian_cat/n02123394_2969.bmp,1,persian cat (100.00%),persian_cat,550.462,1.693040000000001,3.075179093351688
/share/kbench/imagenet/tflite/persian_cat/n02123394_4713.bmp,1,persian cat (99.97%),persian_cat,568.536,1.7314000000000014,3.05223688078362
/share/kbench/imagenet/tflite/persian_cat/n02123394_1914.bmp,1,persian cat (99.65%) ,persian_cat,543.336,1.5967350000000007,2.9351746323529424
/share/kbench/imagenet/tflite/persian_cat/n02123394_2545.bmp,1,persian cat (99.78%),persian_cat,571.674,1.6007549999999993,2.803423817863396
/share/kbench/imagenet/tflite/persian_cat/n02123394_2721.bmp,1,persian cat (85.05%) ,persian_cat,554.393,1.5718550000000002,2.8372833935018056
/share/kbench/imagenet/tflite/persian_cat/n02123394_240.bmp,1,persian cat (99.40%) ,persian_cat,550.733,1.5648899999999994,2.8400907441016323
/share/kbench/imagenet/tflite/persian_cat/n02123394_8172.bmp,1,persian cat (99.82%),persian_cat,545.216,1.5515999999999972,2.846972477064215
