Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,45820.92592592593,3997.7102386141546,0.1269970138888889,0.007662115541970821,2.778921495560511,0.08029174644796956
DEPTHWISE_CONV_2D,30578.703703703704,998.9178891408151,0.0711794675925926,0.002404874211091294,2.3249385665364275,0.04700793536108293
CONV_2D,26730.85648148148,1674.3224148433535,0.08300645833333334,0.003539182537719822,3.1078990075923,0.10543097853630125
DEPTHWISE_CONV_2D,14213.888888888889,555.8410099975188,0.036140879629629634,0.001818421913096488,2.5453576076980142,0.09567723709567029
CONV_2D,20276.939814814814,1376.9817473332225,0.06272784722222222,0.003088365918427314,3.0955418463495477,0.10605884025456147
DEPTHWISE_CONV_2D,26696.53240740741,962.7499621867044,0.06278805555555556,0.0025581659222580675,2.3556584319047973,0.06324484966523167
CONV_2D,33370.47222222222,3236.7896116320467,0.10393351851851852,0.006137411753882422,3.1285027860731964,0.1487081455235884
DEPTHWISE_CONV_2D,7232.680555555556,288.422264370968,0.019925787037037037,0.001387022383934616,2.7612190181419667,0.13325707153900868
CONV_2D,18604.00925925926,3558.84722933791,0.05618041666666667,0.006648952807585568,3.0618169197689555,0.23568366038410213
DEPTHWISE_CONV_2D,13194.060185185184,473.5857807706159,0.032504074074074074,0.0014739162918068897,2.472782940944196,0.08769204636242783
CONV_2D,33582.75925925926,2577.14909372802,0.10349569444444445,0.00460816332107195,3.0917186152121165,0.10881870442220469
DEPTHWISE_CONV_2D,3870.685185185185,162.73596247979413,0.01174875,0.0010735124559387076,3.082257985066351,0.20480494775068214
CONV_2D,19726.62037037037,3068.5109874262175,0.05900560185185185,0.005887049904852074,3.007315037255073,0.16401531780136416
DEPTHWISE_CONV_2D,5582.657407407408,216.2311932321787,0.015395208333333334,0.0013288939386255551,2.789626506676284,0.1091994225395361
CONV_2D,34253.09259259259,4052.6484368296396,0.10435296296296297,0.008366797518261764,3.057750480674441,0.12058016754681582
DEPTHWISE_CONV_2D,5595.782407407408,202.7320204060229,0.015426481481481482,0.0015631385745866447,2.7624142584525315,0.1397217030850533
CONV_2D,33713.833333333336,3865.1145064730163,0.10349280092592593,0.008238997652436308,3.0775168735054357,0.11204048444689566
DEPTHWISE_CONV_2D,6327.143518518518,228.14794330009744,0.016973425925925927,0.001475216109113206,2.697583309223832,0.16423144307446036
CONV_2D,33773.09259259259,3977.111856977132,0.10354125,0.008401465663165675,3.076664990179611,0.11139948167438656
DEPTHWISE_CONV_2D,6380.694444444444,218.88581321866218,0.017145694444444446,0.0014795382097273495,2.67224125874456,0.14372210482968284
CONV_2D,33242.44907407407,3623.8533470243915,0.1026380787037037,0.007964995140096989,3.096474434337119,0.1014819453699622
DEPTHWISE_CONV_2D,5606.791666666667,209.1571669489504,0.015560416666666667,0.0013139704505457524,2.7846428598256545,0.16045478997160195
CONV_2D,33089.71759259259,3379.6995454430976,0.10244930555555555,0.007414480013433092,3.1037301371666928,0.0954768328926066
DEPTHWISE_CONV_2D,1725.9953703703704,73.70866686597392,0.0065831944444444445,0.0011455537958683544,3.99200853247415,0.6210738572057596
CONV_2D,20045.75,3934.1906401514857,0.06512020833333333,0.009950792104062064,3.2628483889816646,0.09423414194753948
DEPTHWISE_CONV_2D,3015.287037037037,115.4032824911812,0.009376944444444445,0.0009703010780674035,3.1251563830222637,0.23203267999795207
CONV_2D,36865.416666666664,8318.624382277752,0.11963981481481481,0.020758564301604634,3.259317183116757,0.07839066090111622
AVERAGE_POOL_2D,340.34722222222223,25.892670056491298,0.0017557407407407409,0.002352440991389544,1.7556262834036729,2.352312630030509
CONV_2D,16647.787037037036,3028.113917786321,0.03947844907407407,0.007175258514325913,2.3786826639276715,0.11573873971202893
RESHAPE,5.305555555555555,3.79560743524263,2.013888888888889e-05,0.00029529407684711123,0.02015857499728467,0.29558273185869194
SOFTMAX,289.65277777777777,227.3272742587514,0.0013467824074074074,0.0021260336143874383,1.3085747474730047,2.0258924653777277
