Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,21848.347222222223,507.37518789213595,0.06511447916666667,0.0022858559705468086,2.9775765713992315,0.06449435220644495
DEPTHWISE_CONV_2D,33138.66018518519,1745.0630425542954,0.08807718981481483,0.00386375696568719,2.66004775637162,0.03467109654196128
CONV_2D,6620.55787037037,154.9583109500801,0.022183583333333333,0.0013913830907024106,3.3649054345374982,0.09572010742694352
CONV_2D,33485.73101851852,492.53967631202585,0.10550146296296296,0.001965732720452577,3.1508386531697603,0.02732914165996695
DEPTHWISE_CONV_2D,22213.53009259259,1179.2979734594421,0.06103879861111112,0.003384348394351552,2.748757568179324,0.024499690774197967
CONV_2D,3558.311111111111,92.64658788597441,0.013655118055555556,0.0014751820265736188,3.8457685394370014,0.17663779124927356
CONV_2D,14192.432407407407,217.47415143495223,0.04700559490740741,0.0013417822777214638,3.3139051881405432,0.04215618406859238
DEPTHWISE_CONV_2D,29754.580092592594,1573.2679865407754,0.080354375,0.0038910318067849367,2.7014929459858648,0.03118386486577469
CONV_2D,4515.783796296297,105.01223921804608,0.016516319444444445,0.0014999431377468164,3.670399771208911,0.16885035885604655
ADD,27277.497685185186,1289.648133175111,0.0730203125,0.003688941370154361,2.677266751891008,0.025676722769656816
CONV_2D,14173.863425925925,201.16852239621846,0.04613481712962963,0.0012021956577149987,3.25667155519306,0.03714403663541672
DEPTHWISE_CONV_2D,7705.5574074074075,426.22296747205667,0.02317935416666667,0.0018378429856339062,3.005751625234042,0.04904910026780004
CONV_2D,1427.4787037037038,54.15243838928032,0.006738319444444445,0.0014813712912652508,4.9519575667748725,0.6972346082423476
CONV_2D,4615.2342592592595,106.59560450777147,0.017263155092592592,0.0014308287424769394,3.7457842220006174,0.12083841140155742
DEPTHWISE_CONV_2D,10084.173148148147,549.6152573672149,0.029595175925925928,0.0019284752160359446,2.937208364112719,0.04349212598988852
CONV_2D,1707.9620370370371,182.29063445680717,0.007659377314814815,0.001514997408243784,4.659393651489074,0.664639035412609
ADD,9090.65462962963,432.7826053541027,0.026857314814814817,0.0015802435899789026,2.9543010104519882,0.0531908055915557
CONV_2D,4602.222685185186,98.9845711144707,0.01635311574074074,0.0014117693670934145,3.557720002554645,0.11818281122751761
DEPTHWISE_CONV_2D,9782.543055555556,557.7035868082719,0.02882500462962963,0.002105174054776586,2.948717262167276,0.041854538370642326
CONV_2D,1706.8578703703704,85.80517705989244,0.007651550925925926,0.0014257401350147002,4.673212962321479,0.6764773668496941
ADD,9091.396296296296,431.4700242637192,0.026858060185185186,0.0015817132240800147,2.9544029952037394,0.05044987441171059
