Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,209304.97916666666,2499.1306997951438,0.6535969074074073,0.006841046194001581,3.122593571149922,0.027636468865544262
MAX_POOL_2D,24840.4375,987.9012418690153,0.06268612037037037,0.0022105334416430084,2.5232250027541663,0.03903305281423508
CONV_2D,5914.941203703704,287.63100520303203,0.022021291666666668,0.0013247748841347573,3.738194836833705,0.1565483717111801
CONV_2D,4588.065277777778,301.5128673286393,0.017197229166666668,0.0016310265586380374,3.7607556709299748,0.177529649075915
CONV_2D,40291.07592592593,1250.629049412836,0.12388283333333333,0.002969306593827614,3.0767941482317593,0.044067577511837805
CONCATENATION,2475.6800925925927,120.79460671363825,0.009263831018518518,0.0013025172340726898,3.7787314452115086,0.2695229130675439
CONV_2D,7300.225462962963,362.9923369252474,0.026060532407407407,0.0012445704743470442,3.5815614517583847,0.12412348649679084
CONV_2D,4750.083333333333,306.1655318130543,0.0174130625,0.0015357780355033377,3.6669207439325473,0.17459740336441104
CONV_2D,40446.10787037037,1748.7920272484337,0.12396556481481481,0.0037126726771742322,3.0685992000509925,0.05538770835495639
CONCATENATION,2484.6467592592594,117.99895534164624,0.009345337962962963,0.0012890321615688313,3.793679145512703,0.2791314663855259
CONV_2D,10325.227314814814,622.0372307053095,0.03601268518518519,0.0017116178555095295,3.499810231788646,0.11954581798264291
CONV_2D,11431.188425925926,1049.3771676373722,0.03868999537037037,0.0022994263576058796,3.3938210963172146,0.12637627819006847
CONV_2D,98367.9462962963,1813.9231431728674,0.31764065046296297,0.004413255819282971,3.229935909259927,0.03361863649045085
CONCATENATION,4246.025,175.52273864775302,0.014364039351851854,0.0011775328751514936,3.384104633675138,0.10081612710774955
MAX_POOL_2D,13403.39537037037,499.0423525194993,0.03533967824074074,0.0014149342923130998,2.63753970695288,0.0455576627232324
CONV_2D,5592.6407407407405,280.12163629032625,0.020523541666666666,0.0014294300787781615,3.6813712867212214,0.17293387862257986
CONV_2D,2989.812037037037,401.3210982856294,0.012113287037037037,0.001589286165179815,4.081884878199617,0.30624891616074373
CONV_2D,28308.824074074073,884.8087419272084,0.08967084027777777,0.0022332557148510195,3.1679202539054927,0.05723641756561704
CONCATENATION,1092.1314814814814,69.35050087691715,0.005417810185185185,0.0008300734271893612,5.064445220029308,0.4862482207118777
CONV_2D,7111.993981481482,292.1944422698814,0.025450224537037037,0.0011205334720940376,3.5885426694278193,0.10600918166466734
CONV_2D,5431.727314814815,716.8056636488624,0.019617092592592592,0.0018630680890374285,3.638374163308763,0.19362568701283278
CONV_2D,51077.88564814815,1689.9670072326162,0.16126590046296296,0.003630767711874774,3.1584874697866163,0.052755172014487706
CONCATENATION,1584.3101851851852,67.8790528969573,0.006711101851851852,0.0012878373394083387,4.443751488839899,0.6794708023708999
CONV_2D,9080.530092592593,516.7172950301981,0.032837655092592594,0.0015283853662601393,3.624676319008421,0.1171066894315966
CONV_2D,5334.06712962963,567.0938035878075,0.01959769675925926,0.0016419264975396526,3.6846745135896866,0.17877354845634882
CONV_2D,50911.28009259259,1585.255997778461,0.1606275810185185,0.0035428089553858153,3.156827211941271,0.048880512743445514
CONCATENATION,1587.898148148148,67.95559413579151,0.0067710162037037044,0.001280943733844105,4.4468328555532155,0.6872555357977976
CONV_2D,11463.334722222222,647.3193967331428,0.041093576388888886,0.0017421787720536513,3.58870791759944,0.10604396506541101
CONV_2D,8263.082407407408,875.5739391043162,0.02890024537037037,0.0020273328549126305,3.516471530758578,0.14832390034150994
CONV_2D,77270.79629629629,1707.9872742134737,0.25137586805555556,0.00412189799736071,3.253734212573656,0.037913304626513725
CONCATENATION,2033.4074074074074,98.18501875588393,0.00793712037037037,0.0007380882897553225,3.9453135669255155,0.28349127147089453
MAX_POOL_2D,5853.623611111111,266.8416188211802,0.017052847222222223,0.0012246261881623407,2.9166881780069227,0.0784531584441792
CONV_2D,3569.2361111111113,434.84043879853925,0.013775506944444444,0.0017546938597996066,3.8936167101111514,0.27797829431973825
CONV_2D,2214.587962962963,195.8305996109868,0.0102445,0.0013996607740475574,4.6783143095716175,0.3426679875169183
CONV_2D,19895.713425925926,1332.3930972353787,0.06604333333333333,0.003058636803744803,3.3232811539972125,0.08414649477542101
CONCATENATION,433.0453703703704,47.54960155664986,0.0022045856481481482,0.0026078664566321946,2.204604360681425,2.6078880319975224
CONV_2D,55184.297685185185,3423.5272844541564,0.17409594675925927,0.0073862062268397425,3.158428059490454,0.07233497152244302
AVERAGE_POOL_2D,1159.0861111111112,71.8489928256599,0.005529944444444445,0.0009389348509460003,4.9065486167303085,0.5356731858383262
RESHAPE,5.218981481481482,3.0306628781734446,2.620138888888889e-05,0.0003663410216788964,0.026200789032030627,0.3663321924559993
SOFTMAX,280.13935185185187,30.08384160152805,0.001357402777777778,0.002280673139097247,1.3574667047238036,2.2807852966869726
