Image,Inferences,Infered class,Expected class,Average Inference Time (ms),Average energy spent (J),Average power (W)
/share/kbench/imagenet/tflite/persian_cat/n02123394_3329.bmp,10,west highland white terrier (30.97%) ,persian_cat,837.852,2.5231924999999964,3.0118878481576656
/share/kbench/imagenet/tflite/persian_cat/n02123394_3152.bmp,10,persian cat (99.99%),persian_cat,842.426,2.541191499999992,3.016609093067417
/share/kbench/imagenet/tflite/persian_cat/n02123394_6048.bmp,10,lighter (30.19%) ,persian_cat,840.553,2.546474499999987,3.0293044320739213
/share/kbench/imagenet/tflite/persian_cat/n02123394_1292.bmp,10,persian cat (92.31%) ,persian_cat,844.531,2.551836499999987,3.02126067261674
/share/kbench/imagenet/tflite/persian_cat/n02123394_5905.bmp,10,space heater (58.03%) ,persian_cat,841.642,2.5443814999999885,3.0234131981969603
/share/kbench/imagenet/tflite/persian_cat/n02123394_6099.bmp,10,pomeranian (41.66%) ,persian_cat,842.223,2.5477089999999976,3.025064117786746
/share/kbench/imagenet/tflite/persian_cat/n02123394_1826.bmp,10,persian cat (92.66%) ,persian_cat,840.648,2.550017499999984,3.0331158407197467
/share/kbench/imagenet/tflite/persian_cat/n02123394_3786.bmp,10,persian cat (51.65%) ,persian_cat,844.764,2.557455499999985,3.027722619026543
/share/kbench/imagenet/tflite/persian_cat/n02123394_511.bmp,10,tabby (36.26%) ,persian_cat,844.875,2.559501999999992,3.0290900060447528
/share/kbench/imagenet/tflite/persian_cat/n02123394_1310.bmp,10,persian cat (48.90%) ,persian_cat,844.957,2.562359999999993,3.032661538214366
/share/kbench/imagenet/tflite/persian_cat/n02123394_513.bmp,10,persian cat (19.98%) ,persian_cat,848.105,2.5691324999999896,3.029005490463996
/share/kbench/imagenet/tflite/persian_cat/n02123394_731.bmp,10,persian cat (57.32%) ,persian_cat,843.162,2.5633009999999983,3.0403505596336666
/share/kbench/imagenet/tflite/persian_cat/n02123394_10157.jpeg.bmp,10,jack-o'-lantern (80.39%) ,persian_cat,842.827,2.5616445000000043,3.039700304117903
/share/kbench/imagenet/tflite/persian_cat/n02123394_3183.bmp,10,persian cat (49.92%) ,persian_cat,845.723,2.5687340000000027,3.0374056994206016
/share/kbench/imagenet/tflite/persian_cat/n02123394_4299.bmp,10,umbrella (12.61%) ,persian_cat,849.477,2.5772805000000014,3.0338793407887006
/share/kbench/imagenet/tflite/persian_cat/n02123394_3179.bmp,10,angora (22.29%) ,persian_cat,845.03,2.571200499999994,3.0424807715063236
/share/kbench/imagenet/tflite/persian_cat/n02123394_10136.bmp,10,persian cat (36.83%) ,persian_cat,849.26,2.580675000000001,3.038948422044278
/share/kbench/imagenet/tflite/persian_cat/n02123394_9083.bmp,10,persian cat (53.64%) ,persian_cat,842.501,2.567745000000002,3.0475091763709283
/share/kbench/imagenet/tflite/persian_cat/n02123394_619.bmp,10,persian cat (22.94%) ,persian_cat,841.189,2.569871,3.054980142555212
/share/kbench/imagenet/tflite/persian_cat/n02123394_5938.bmp,10,persian cat (99.14%) ,persian_cat,841.955,2.569829999999994,3.0524150272901345
/share/kbench/imagenet/tflite/persian_cat/n02123394_1814.bmp,10,tabby (74.42%) ,persian_cat,846.156,2.5805290000000056,3.0498175100669305
/share/kbench/imagenet/tflite/persian_cat/n02123394_1594.bmp,10,persian cat (58.99%) ,persian_cat,845.778,2.5782894999999924,3.0486249751268475
/share/kbench/imagenet/tflite/persian_cat/n02123394_6265.bmp,10,bonnet (19.41%) ,persian_cat,847.368,2.5910655000000125,3.0577615880416453
/share/kbench/imagenet/tflite/persian_cat/n02123394_2227.bmp,10,ping-pong ball (24.47%) ,persian_cat,851.898,2.595063999999989,3.0459609625520905
/share/kbench/imagenet/tflite/persian_cat/n02123394_7008.bmp,10,west highland white terrier (36.79%) ,persian_cat,849.84,2.5928424999999913,3.0510454694790288
/share/kbench/imagenet/tflite/persian_cat/n02123394_1286.bmp,10,persian cat (73.32%) ,persian_cat,843.726,2.583715000000006,3.0626885302453286
/share/kbench/imagenet/tflite/persian_cat/n02123394_5921.bmp,10,persian cat (85.37%) ,persian_cat,843.411,2.5805405000000112,3.0596875741048275
